customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,num_contacts_in_campaign,num_contacts_prev_campaign,term_deposit_subscribed
28.0,management,single,tertiary,no,285.0,yes,no,unknown,26,jun,4.0,0,0
34.0,blue-collar,married,secondary,no,934.0,no,yes,cellular,18,nov,2.0,1,0
46.0,technician,married,secondary,no,656.0,no,no,cellular,5,feb,4.0,0,0
34.0,services,single,secondary,no,2.0,yes,no,unknown,20,may,3.0,0,0
41.0,blue-collar,married,primary,no,1352.0,yes,no,cellular,13,may,2.0,0,0
65.0,retired,married,primary,no,2880.0,no,no,cellular,23,apr,1.0,0,1
57.0,blue-collar,married,primary,no,495.0,no,no,cellular,18,aug,4.0,0,1
29.0,technician,married,secondary,no,265.0,yes,no,cellular,19,aug,2.0,0,0
50.0,blue-collar,married,secondary,no,407.0,yes,yes,cellular,7,aug,2.0,0,0
52.0,blue-collar,married,tertiary,no,1779.0,no,no,cellular,19,nov,3.0,1,0
35.0,technician,single,secondary,no,5212.0,yes,no,cellular,7,may,2.0,0,0
18.0,blue-collar,single,secondary,no,420.0,yes,no,cellular,16,apr,1.0,0,1
50.0,management,married,secondary,no,4873.0,no,no,telephone,6,feb,6.0,9,0
55.0,blue-collar,married,primary,no,762.0,no,no,unknown,18,jun,1.0,0,0
42.0,management,married,tertiary,no,55.0,yes,no,cellular,17,nov,1.0,3,0
37.0,blue-collar,single,primary,no,3.0,no,no,unknown,5,jun,1.0,0,0
41.0,technician,married,secondary,no,-3.0,yes,no,cellular,16,apr,1.0,1,0
41.0,services,married,secondary,no,-145.0,no,yes,unknown,6,jun,1.0,0,0
53.0,retired,divorced,secondary,yes,-204.0,no,yes,unknown,6,jun,1.0,0,0
58.0,blue-collar,married,secondary,no,1.0,no,yes,cellular,22,jul,2.0,0,0
70.0,retired,divorced,primary,no,479.0,no,no,cellular,2,jul,2.0,0,1
34.0,blue-collar,married,primary,no,3.0,yes,no,unknown,21,may,2.0,0,0
31.0,management,single,tertiary,no,3.0,yes,no,unknown,9,may,3.0,0,0
41.0,entrepreneur,married,primary,no,150.0,no,no,cellular,20,aug,2.0,0,0
34.0,services,single,secondary,no,1038.0,no,yes,unknown,3,jul,1.0,0,0
38.0,technician,divorced,secondary,no,528.0,no,no,cellular,29,jan,3.0,7,0
45.0,admin.,single,secondary,no,10390.0,yes,no,cellular,20,nov,1.0,0,0
33.0,admin.,single,secondary,no,54.0,no,no,cellular,29,jan,1.0,0,0
25.0,student,single,tertiary,no,192.0,no,no,cellular,3,apr,2.0,0,0
61.0,admin.,married,primary,no,882.0,yes,no,cellular,30,jan,5.0,7,0
37.0,management,married,secondary,no,0.0,no,no,cellular,12,aug,2.0,0,0
31.0,admin.,married,secondary,no,93.0,yes,no,cellular,18,may,2.0,1,0
20.0,housemaid,single,secondary,no,649.0,yes,no,cellular,14,may,1.0,4,0
54.0,management,married,tertiary,no,1459.0,no,no,cellular,2,oct,2.0,1,1
36.0,admin.,married,secondary,no,-327.0,yes,no,cellular,29,jul,8.0,0,0
64.0,retired,married,primary,no,50.0,no,no,cellular,9,sep,3.0,1,1
30.0,self-employed,married,secondary,no,580.0,yes,no,cellular,13,oct,1.0,6,0
32.0,self-employed,divorced,secondary,no,96.0,yes,no,unknown,17,jun,10.0,0,0
32.0,management,married,tertiary,no,85.0,no,no,unknown,14,may,6.0,0,0
34.0,blue-collar,married,secondary,no,365.0,yes,yes,cellular,20,apr,2.0,0,0
48.0,entrepreneur,married,tertiary,no,358.0,yes,no,unknown,27,may,5.0,0,0
29.0,management,single,tertiary,no,50.0,no,yes,cellular,31,jul,17.0,0,0
45.0,technician,married,secondary,no,1672.0,no,no,cellular,23,oct,1.0,0,0
29.0,blue-collar,married,primary,no,-334.0,no,no,cellular,10,jul,6.0,0,0
42.0,admin.,single,secondary,no,-495.0,yes,yes,unknown,23,may,1.0,0,0
32.0,management,married,secondary,no,4136.0,yes,no,cellular,12,may,4.0,0,0
49.0,blue-collar,married,secondary,no,74.0,yes,no,cellular,11,may,1.0,1,0
30.0,admin.,single,secondary,no,390.0,yes,no,unknown,8,may,1.0,0,0
61.0,technician,divorced,secondary,no,2738.0,no,no,cellular,3,feb,2.0,0,0
40.0,blue-collar,single,primary,no,3380.0,yes,no,telephone,20,nov,1.0,0,0
32.0,technician,divorced,secondary,no,-5.0,no,no,cellular,29,jan,2.0,4,0
30.0,management,single,tertiary,no,39.0,yes,no,cellular,15,may,3.0,2,1
27.0,entrepreneur,single,tertiary,no,218.0,yes,no,cellular,18,may,2.0,1,0
41.0,technician,single,tertiary,no,-93.0,yes,no,cellular,3,feb,4.0,4,0
28.0,blue-collar,married,secondary,no,1783.0,yes,no,unknown,5,jun,2.0,0,0
31.0,management,married,tertiary,no,184.0,no,no,cellular,5,feb,1.0,0,0
47.0,management,married,tertiary,no,4113.0,no,no,cellular,18,aug,13.0,0,0
37.0,management,married,tertiary,no,88.0,yes,no,unknown,19,may,10.0,0,0
50.0,housemaid,married,primary,no,5141.0,no,no,unknown,9,jun,1.0,0,0
38.0,management,married,tertiary,no,52.0,no,no,unknown,30,may,3.0,0,0
45.0,technician,single,tertiary,no,3428.0,yes,no,cellular,25,jul,30.0,0,0
55.0,blue-collar,married,secondary,no,70.0,yes,no,unknown,5,may,2.0,0,0
39.0,blue-collar,single,secondary,no,164.0,yes,no,cellular,20,apr,1.0,1,0
35.0,services,married,secondary,no,0.0,yes,no,cellular,12,jun,4.0,6,0
34.0,admin.,single,secondary,no,1069.0,no,no,cellular,20,nov,2.0,0,0
31.0,admin.,single,tertiary,no,699.0,yes,no,cellular,18,may,2.0,0,0
55.0,unknown,married,primary,no,10.0,no,no,telephone,19,oct,2.0,0,0
49.0,technician,married,secondary,no,174.0,yes,yes,cellular,8,jul,1.0,0,0
40.0,services,married,secondary,no,0.0,yes,no,cellular,31,jul,20.0,0,0
58.0,blue-collar,single,secondary,no,1187.0,yes,no,cellular,5,feb,2.0,0,0
39.0,management,married,tertiary,no,46.0,no,yes,cellular,22,aug,1.0,0,0
40.0,retired,divorced,primary,no,5800.0,no,no,cellular,13,aug,5.0,0,0
36.0,admin.,single,secondary,no,143.0,no,no,cellular,11,jul,2.0,0,0
34.0,technician,married,tertiary,no,198.0,no,no,cellular,1,oct,1.0,2,0
51.0,management,married,tertiary,no,1886.0,no,no,cellular,18,nov,3.0,0,0
26.0,technician,single,secondary,no,249.0,no,no,cellular,29,jan,2.0,0,0
30.0,services,married,secondary,no,412.0,yes,no,unknown,7,may,1.0,0,0
56.0,management,divorced,tertiary,no,155.0,no,no,cellular,13,aug,2.0,0,0
55.0,management,single,tertiary,no,1100.0,no,no,telephone,18,aug,2.0,0,0
29.0,management,single,tertiary,no,878.0,yes,no,cellular,16,mar,1.0,2,1
38.0,management,married,tertiary,no,729.0,no,no,cellular,26,aug,13.0,0,0
56.0,management,married,tertiary,no,4608.0,no,no,telephone,1,sep,2.0,2,0
44.0,technician,married,tertiary,no,-2.0,no,no,cellular,3,feb,1.0,0,0
33.0,admin.,married,secondary,no,114.0,yes,no,telephone,4,feb,1.0,0,0
42.0,blue-collar,married,primary,no,163.0,yes,no,unknown,29,may,6.0,0,0
34.0,entrepreneur,married,secondary,no,3115.0,yes,no,cellular,20,nov,1.0,4,0
58.0,admin.,married,secondary,no,304.0,no,yes,cellular,8,jul,2.0,0,0
49.0,services,married,secondary,no,195.0,yes,yes,unknown,12,may,6.0,0,0
40.0,technician,divorced,secondary,no,1335.0,yes,yes,cellular,29,jan,2.0,1,0
41.0,admin.,divorced,tertiary,no,995.0,yes,no,cellular,13,may,3.0,0,0
38.0,management,divorced,tertiary,no,4569.0,yes,yes,cellular,16,jul,1.0,0,0
32.0,services,single,secondary,no,292.0,yes,no,cellular,12,may,2.0,0,0
37.0,management,single,tertiary,no,2806.0,yes,no,unknown,19,jun,12.0,0,0
33.0,management,single,tertiary,no,-2.0,no,no,cellular,19,aug,4.0,0,0
41.0,management,married,tertiary,no,104.0,yes,no,unknown,6,may,2.0,0,0
45.0,admin.,divorced,secondary,no,1112.0,yes,no,unknown,15,may,1.0,0,0
38.0,technician,married,secondary,no,196.0,yes,no,unknown,8,may,2.0,0,0
46.0,blue-collar,married,,no,388.0,no,no,unknown,6,jun,4.0,0,0
32.0,management,married,tertiary,no,0.0,no,no,cellular,22,aug,4.0,0,0
27.0,self-employed,married,tertiary,no,1934.0,no,no,cellular,20,nov,1.0,0,0
29.0,blue-collar,married,primary,no,198.0,yes,no,unknown,30,may,2.0,0,0
45.0,blue-collar,married,primary,no,681.0,yes,no,unknown,15,may,4.0,0,0
48.0,services,single,secondary,no,518.0,yes,no,cellular,13,may,1.0,1,0
27.0,admin.,single,secondary,no,68.0,yes,no,cellular,14,may,1.0,3,0
60.0,unemployed,married,tertiary,no,2.0,yes,no,cellular,9,jul,1.0,0,0
53.0,admin.,married,,no,214.0,no,no,telephone,17,nov,2.0,0,0
41.0,services,married,secondary,no,-272.0,yes,no,cellular,28,jul,10.0,0,0
36.0,admin.,married,secondary,no,18.0,yes,yes,cellular,13,oct,1.0,0,0
47.0,services,divorced,secondary,no,204.0,yes,no,unknown,6,may,2.0,0,0
35.0,self-employed,married,secondary,no,29122.0,no,no,unknown,18,jun,2.0,0,0
33.0,management,married,tertiary,no,444.0,no,no,cellular,18,jun,3.0,0,1
31.0,management,married,tertiary,no,5879.0,no,no,cellular,23,oct,1.0,2,1
48.0,blue-collar,single,secondary,no,2609.0,yes,no,unknown,14,may,2.0,0,0
55.0,entrepreneur,married,tertiary,no,1956.0,no,no,cellular,15,dec,1.0,0,1
48.0,technician,married,secondary,no,142.0,no,no,cellular,22,aug,2.0,0,0
29.0,technician,married,secondary,no,341.0,yes,yes,cellular,14,may,11.0,0,0
